English	Gilaki
You know, Mother, I've been wondering where the end of the stream is... I haven't been able to think about anything else.	دأني مأر، من چن ماىه فيکرأدرمه گه سؤنگ ٚ اينتها کؤىه نأهأىه ؤ هأندئه نتأنستمه سر در بأرم.
I didn't sleep a wink all night.	ديشب تا أسه چۊم چۊم ٚ سر ننأمه، داىم فيکير بۊگۊدمه.
At last, I decided to go and find where the stream ends.	آخرپس ٚ ره بؤتم مر ٚ ره شمه سؤنگ ٚ اينتها-ىه پىدا کۊنمه.
I want to know what's happening in other places.	مي ديل خأىه بدأنم بقيهٔ جاان چي خبره!»
"The mother laughed: ""When I was a child, I used to think a lot like that."	مأر خنده بۊگۊده أوجأدأ: «من أم وقتي زأى بۊم خىلي أجۊر فيکران گۊديم.
"But, my dear, a stream has no beginning and no end. That's the way it is. The stream just flows and never goes anywhere."""	آخه بلاميسر! سؤنگ کي ايبتدا اينتها ندأره؛ هأنه گه ايسه! سؤنگ هميشک روانه ؤ هيچ‌جا ىأم فأنرسه.»
But mother dear, isn't it true that everything comes to an end? Nights end, days end, weeks, months, years ...	کۊجدانه سئه ماىي بۊگؤته: «آخه جان ٚ مأر، مگر أتؤ نيه گه هر چيزي سر أىه؟ شب سر أىه، رۊز سر أىه، هفته، ما، سال...»
"Forget this pretentious talk, interrupted the mother - ""Let's go swimming."	مأر أن ٚ گب-ه مقراض بزئه بۊگؤته: «أ پيله پيله گبان-ه ديمه بنه؛ ويريس بيشيم بمجیم.
"Now is the time to swim, not talk."""	أسه مختن ٚ زماته، نأ أ گبان!»
No, Mother, I'm tired of this swimming, I want to set out and see what's happening elsewhere.	کۊجدانه سئه ماىي بؤته: «نأ مأرى، من دئه أ محلله‌مجي جا خستأبؤستمه، خأمه را دکفم بشم بيدينم باقي ٚ جيگاان چي خبره.
Maybe you think someone taught me these ideas but believe me, I've had these thoughts for a long time.	مۊمکينه فيکر بۊکۊني اي نفر أ گبان-ه کۊجدانه ماىي-ئه ىاد بدأ؛ ولي بدأن کي من مر ٚ ره پۊر زماته گه أ فيکران-ه گۊداندرم.
Of course, I've learned many things here and there.	ألبته خىلي چيزان أم أن ؤ اۊن ٚ جا ىاد بيگيتمه؛ مثلا أن-ه بفامستمه کي ماىئن ٚ ويشتري، پيري زمات شکاىت کۊنده گه خۊشان ٚ زندگي-ئه هأچين لا بۊگۊدده.
For instance, I know that when most fish get old, they complain about everything.	هميشک نيفرين ناله کۊنده ؤ همه چيز ٚ جا گله دأرده.
I want to know if life is simply for circling around in a small place until you become old and nothing else, or is there another way to live in the world?	من خأم بدأنم گه راستي‌راستي زندگي ىعني أن کي اي ‌گۊل ٚ جا مئن هأى بيشي ؤ هأی واگردي تا پيرأبي ؤ دئه هيچي؟ ىا أن کي جۊر ٚ ديگر أم شأ دۊنىا مئن زندگي گۊدن...؟»
"When the little fish finished the mother exclaimed - ""My dear child, are you crazy? World! ... World! "	کۊجدانه ماىي گب ٚ تۊمامابؤسته وأسي أن ٚ مأر بؤته: «زاى جان! مگه تي عقل-ه بۊخۊردي؟ دۊنىا! دۊنىا!...
"What is this other world! The world is right here where we are. Life is just as we have it..."""	دۊنىا دئه ىعني چي؟ دۊنىا هأىه ايسه گه أما ايسأمي، زندگي ني هأنه گه أما دأريمي...»
"Just then, a large fish approached their home and said: ""Neighbor, what are you arguing about with your child? Aren't you planning to go swimming today?"""	هأ مؤقع ايته پيلدانه ماىي اۊشان ٚ خانه-أ نيزيکأبؤ بۊگؤته: «همساىه! چي وأسي تي زأک ٚ أمرأ بۊگۊ واگۊ کۊني؟ بخألي ايمرۊ نخأدي گردش بۊکۊنيد.»
"Hearing her neighbor's voice, the mother came out of the house and said, ""What's the world coming to! Now children even want to teach their mothers something!"""	ماىي مأر، همساىه صدا وأسي خانه جا بيرۊن بأمؤ بۊگؤته: «زمانه پاک واگردسته! أسه دئه جأغله‌أن خأىده خۊشان ٚ ماران-ه چيز ىاد بدد!»
"“How so? ""asked the neighbor."""	همساىه بؤته: «چۊتؤ مگر؟»
"“Listen to the places this half-pint wants to go!"" replied the mother. Saying over and over again ‘I want to go see what's happening in the world.’ What pretentious talk!"	ماىئک ٚ مأر بۊگؤته: «أ أغۊزئک ٚ کيۊنٚمان-ه سۊبۊل دکته! بيدين کؤىه‌أن خأىه بشه! هأى گئه خأىمأ بشمأ بيدينمأ دۊنىا چي خبره‌ىأ! چي پيله پيله واز!»
"Little one, said the neighbor, ""Let's see. Since when have you become a scholar and philosopher and not told us?"""	همساىه بۊگؤته: «کۊجدانه! تۊ کئن تا أسه عاليم ؤ فيلسۊف بؤبؤستي ؤ أمه‌-ره واخبأنۊگۊدي؟»
"Madam, answered the little fish, ""I don't know what you mean by 'scholar' and 'philosopher,'"	کۊجدانه ماىي أوجأدأ: «خانم! من نأنمه شۊما «عاليم ؤ فيلسۊف» چي-ئه گيدي.
I've just gotten tired of these swims.	من فقط أ گردشان ٚ جا وازده بأمؤمه ؤ دئه مره مراغأگيته.
"I don't want to continue this boring stuff and be happy as a fool until one day I wake up and see that like all of you, I've become old, but still am as dumb as I am now."""	نخأمه هأچينى خۊش ببم ؤ ايوارکي چۊم واکۊنم بيدينم شيمي مأنسأن پيرأبؤستمه ىؤ هأندئه هۊ چۊشم ۊ گۊش‌دوسته ماىي ايسم کي بۊم.»
Oh, what talk! exclaimed the neighbor.	همساىه بۊگؤته: «به تخت ٚ سر! چي گبان!»
I never thought my only child would turn out this way, said the mother.	أن ٚ مأر بۊگؤته: «هيذره فيکر نۊگۊديمي مي دؤردانه زأى أتؤ کۊلکاپيس بيرۊن بأىه! 
I don't know what evil person put my sweet baby up to this.	نأنمه کؤ چاچۊلباز مي گۊل ٚ زأک-ه فيتأدأدأره!
No one put me up to anything, said the little fish.	کۊجدانه ماىي بؤته: «هيککس مره فيتأندأ.
I have reason, and intelligence and understanding. I have eyes and I can see.	من مر ٚ ره عقل ؤ شۊعۊر دأرمه فامٚمه، چۊم دأرمه دينمه.»
"Sister, said the neighbor to the little fish's mother, ""do you remember that twisted-up snail?"""	همساىه، کۊجدانه ماىي مأر-ه بؤته: «خاخۊرى! اۊ پيچ‌پيچي شاخشاخی تره ىاد دره؟»
Yes, you're right, said the mother. He used to push himself on my baby. God knows what I would do to him!	مأر بۊگؤته: «أهأ خؤب بۊگؤتي، زياد مي زأک-ه فززه نأىي خىرنۊخؤرد!»
That's enough, Mother, said the little fish. He was my friend.	کۊجدانه ماىي بؤته: «وستأکۊن مأر! اۊن مي ريفئق بۊ.»
"Friendship between a fish and a snail, said the mother, ""I've never heard of such a thing!"""	أن ٚ مأر بۊگؤته: «ماىي ؤ شاخشاخئک ٚ رفاقت-ه دئه نشتاوسته‌بيم!»
And I've never heard of a fish and a snail being enemies, replied the little fish.	کۊجدانه ماىي بؤته: «من أم ماىي ؤ شاخشاخئک ٚ دۊشمني-ئه نشتاوسته‌بۊم.
But you all drowned the poor fellow.	أمما شۊما بيچارئک ٚ سر-ه جۊگۊديد آب ٚ جير.»
Let's not bring up the past, said the neighbor.	همساىه بۊگؤته: «أ گبان قديمان ٚ شينه.»
You brought up the subject yourself, said the little fish.	کۊجدانه ماىي بۊگؤته: «خا شۊما خۊدتان قديم ٚ گب-ه پيش بکشئدي.»
It served him right to be killed, said the mother.	أن ٚ مأر بؤته: «أن ٚ حق بۊ گه أن-ه بۊکۊشيم.
Have you forgotten the things he used to say everywhere he went?	مگه تره ىادأشؤ أرأ اۊرأ کي نيشتي چي گباني زئي؟»
"Then, said the little fish, ""kill me too since I'm saying the very same things."""	کۊجدانه ماىي بۊگؤته: «پس مر أم بۊکۊشيد. چۊنکي من أم هۊ گبان-ه زنمه.»
To make a long story short, the arguing voices attracted the other fish.	شيمي سر-ه دردأندم! اۊشان ٚ بۊگۊ واگۊ اۊخان، بقيهٔ ماىئن أم فأکشانئه اؤىه.
The little fish's words angered everyone.	کۊجدانه ماىي گبان همه‌کس ٚ گرزک‌غۊپه-أ چۊ بزئه‌بۊ.
"One of the old fish asked, ""Did you think we'd pity you?"""	ايته پير ٚ ماىئن اۊ مئني بؤته: «خىأل کۊني تره رحم کۊنيمي؟»
That one just needs a little box on the ears, said another.	اۊىته بؤته: «فقط ايپچه گۊشمالي خأىه!»
Go away, said the black fish's mother. 	سئه ماىي مأر بۊگؤته: «کنأر بيشيد!»
Don't you touch my child.	مي زأک-ه دس زئن نوأىيد!
"Another of them said, ""Madam, if you don't raise your child correctly, you must expect it to be punished."""	ايته دئه اۊشان ٚ مئن بۊگؤته: «خانم! وقتي تي زأک-ه اۊتؤ کي وأ، تربيتأنۊکۊني، بأ اۊن ٚ نتيجه ىم بيديني دئه!»
"The neighbor said, ""I'm ashamed to live next to you."""	همساىه بۊگؤته: «من گه خجالت کشمه شيمي دؤر ٚ ديم زندگي بۊکۊنم.»
"Another said, ""Let's do to the little fish what we did to the old snail before it gets into trouble."""	ايته دئه بۊگؤته: «تا أن ٚ کار بئخ پىدا نۊگۊده أن-ه اۊسئکۊنيم پير ٚ شاخشاخئک ٚ ورجه.»
When they tried to grab the little black fish, her friends gathered around and took the fish away from the brawl.	ماىئن تا بأمؤد کۊجدانه سئه ماىي-ئه بيگيرد، أن ٚ دۊستان أن-ه دؤرأگۊدد ؤ اۊ دپج‌دپج ٚ جا جيويزانئد.
"The black fish's mother beat her head and chest and cried, ""Oh, my baby is leaving me. What am I going to do? What a curse has fallen upon me!"""	سئه ماىي مأر خۊ سر ٚ سينه-أ زئي أرسۊ فۊگۊدي گۊتي: «واى، مي زأى مي دس ٚ جا شؤندره، چي خاک مي سر دۊکۊنم!»
Mother, don't cry for me. Cry for the old fish who stay behind.	کۊجدانه ماىي بؤته: «مأر! مر ٚ ره أرسۊ فۊنکۊن، أ وامانسته کفتال‌ماىئن ٚ ره أرسۊ فۊکۊن.»
Don't get smart, half-pint! shouted one of the fish from afar.	ايته ماىي‌ دۊر ٚ جا ايژگره بکشئه: «تؤهين نوأگۊدن گۊزقۊطي!»
If you go away and afterwards regret it, we won't let you come back, said a second.	دۊوؤمي بۊگؤته: «أگر بيشي ؤ بأزۊن والنگأزني، دئه تره را نديمي!»
These are useful fancies. Don't go, said a third.	سوؤمي بۊگؤته: «أشان همه تي جواني هوسه، نوأشؤن.»
What's wrong with this place? said a fourth.	چارؤمي بؤته: «مگر أىه چي عأىب دأره؟»
There is no other world. The world is right here. Come back! Said a fifth.	پنجؤمي بۊگؤته: «دۊنىاى ٚ ديگري در کار ديينه، دۊنىا هأىه‌ىه، واگرد!»
"If you turn reasonable and come back, then we'll believe you really are an intelligent fish,"" said a sixth."	شيشؤمي بۊگؤته: «أگر عاقيلأبي ؤ واگردي، اۊ وخت أمه‌-ره باور أىه کي راس‌راسي فهيم ؤ باکلله‌ىي.»
Wait, we've gotten used to having you around ... said a seventh.	هفتؤمي بؤته: «آخر أما تي دئن-ه عادت بۊگۊديمي...»
The mother cried, Have mercy on me.	أن ٚ مأر بۊگؤته: مره رحم بۊکۊن
Don't go! Don't go!	نۊشۊ! نۊشۊ!
The little fish didn't have anything more to say to them.	کۊجدانه ماىي دئه اۊشان ٚ أمرأ گبي ندأشتي.
Several friends of the same age accompanied the fish as far as the waterfall.	چن ته أن ٚ همسلامال ٚ دۊستان أن-ه تا ماىي‌مشۊ همراىي بۊگۊدد ؤ اۊرأ جا واگردستد.
"As they parted, the fish said, ""My friends, I hope to see you again."""	کۊجدانه ماىي وختي اۊشان ٚ جا سيوا بؤندۊبۊ بؤته: «زاکان، شيمي خانه آبدان!»
"Don't forget me!"""	مره ىادأنۊکۊنيد.
How would it be possible to forget you? asked the friends.	أن ٚ دۊستان بۊگؤتد: «چۊتؤ تأنيمي تره ىادأگۊدن؟
You've awakened us from a deep sleep.	 أما واگۊده‌کۊر بيم ؤ تۊ أمه-ره بينا بۊگۊدي
You've taught us many things that we had not even thought about before.	أمه‌-ره چيزاني ىاد بدأی گه پيشتران حتی اۊشان ٚ فيکر أم نۊگۊده‌بيم.
We hope to see you again, learned and fearless friend.	تي جان ساغ، دانا دسبرار! نترس ٚ دسبرار!»
The little fish swam down the waterfall and fell into a pond full of water.	کۊجدانه ماىي، ماىي‌مشۊ جا بيجير بأمؤ دکته ايته پۊرآب ٚ سل ٚ مئن.
At first the fish lost its balance but after a while began to swim and circled around the pond.	أول‌سر خۊ دس ٚ پا-ىه گۊمأگۊده، أمما بأزۊن بيناگۊده سيناب گۊدن ؤ سل ٚ دؤر مختن.
The fish had never seen so much water collected in one place.	تا اۊ مؤقع نيدئه‌بۊ گه اۊ همه آب ايجيگا جمعأبه.
Thousands of tadpoles were wriggling in the water.	هيزار هيزار ته پخت ٚ ماىي آب ٚ مئن ويلويلي گۊديد.
"They laughed when they saw the little black fish, ""What a funny shape! What kind of creature are you?"""	کۊجدانه سئه ماىي-ئه کي بيدئد، اۊن-ه رخشنأگيتد ؤ بۊگؤتد: «أن ٚ سرمچچه-أ بيدين! تۊ دئه چۊجۊر مجنده ايسي؟»
"The fish looked them over thoroughly and said, ""Please don't insult me."	ماىي بقاىده اۊشان ٚ جير تا جؤر-ه نيگا بۊگۊده بؤته: «خاهش کۊنمه تؤهين نۊکۊنيد!
My name is Little Black Fish.	مي نام ايسه کۊجدانه سئه ماىي.
Tell me your names so that we'll get acquainted.	شۊما نأم شيمي نام-ه بيگيد تا آشنا بيبيم.»
We call one another tadpole, replied one of the tadpoles.	ايته پخت ٚ ماىي بۊگؤته: «أما کس کس-ه پخت ٚ ماىي دخأنيمي.»
We come from nobility, said another.	اۊىته بۊگؤته: «أصل ٚ نسب‌دار.»
You can't find anyone prettier than us in the whole world, said another.	ايته دئه بۊگؤته: «أمي جا خۊشگيلتر دۊنىا ميئن پىدا نبئه.»
We aren't shapeless and ugly-faced like you, said another one.	بعدي بؤته: «تي ماسان بچمسته ؤ بدترکيب نييم.»
"The fish said, ""I never imagined you would be so conceited. That's all right. I'll forgive you since you're speaking out of ignorance."""	‌ماىي بۊگؤته: «هيذره خىأل نۊگۊديم شۊما أتؤ من‌مره‌قۊربان بيبيد! خا، من شمه‌-ره بخشمه، چۊنکي أ گبان-ه ناداني جا زنيدي.»
"In one voice the tadpoles demanded, ""Are you saying we're stupid?"""	پخت ٚ ماىئن ايجانا بؤتد: «ىعني أما نادانيمي؟»
"If you weren't ignorant, replied the fish, ""you'd know that there are many others in the world who are pleased with their appearances."	ماىي بۊگؤته: «أگر نادان نؤبؤبيد دأنستيد کي دۊنىا مئن خىلي ديگران أم ايسأد کي خۊشان ٚ سرمچچه-أ خىلي ئم خۊش دأرده!»
"You don't even have names of your own."""	شۊما حتی شيمي نام أم شيمي شين نيه.
The tadpoles became very angry.	پخت ٚ ماىئن-ه بدجۊر خفتأگيته؛
"But since they knew the little fish spoke truthfully, they changed their tone and said, ""really, you're wasting words! no one."	أمما چۊن بيدئد کۊجدانه ماىي راست گئه، گب‌بسرأگۊدد ؤ بۊگؤتد: «أصن تۊ هأچينى جانکنشأدري.
We swim around the world every day from morning till evening, but except for ourselves and our father and mother, we see 	أمأ هر رۊز، صؤب تا شب دۊنىا-ىه مجيمي؛ ولي جۊز خۊدمان ؤ أمي پئر ؤ ماران هيککس-ه نيدينمي.
"Of course, there are tiny worms, but they don't count."""	مگر أجيک‌پجيکان کي اۊشان أم به چۊرتٚکأ نأىده!»
You can't even leave the pond, said the fish. How can you talk about traveling around the world?	ماىي بۊگؤته: «شۊما گه سل ٚ جا بيرۊن شؤن نتأنيدي، چۊتؤ دۊنىامجي گب-ه زنيدي؟»
What! Do you think there's a world other than the pond? exclaimed the tadpoles.	پخت ٚ ماىئن بۊگؤتد: «مگر جۊز سل، هأندئه دۊنىا دأريمي؟»
"At least, responded the fish, ""you must wonder where this water comes from and what things are outside of it."""	ماىي بۊگؤته: «ناقلن وا فيکير بۊکۊنيد کي أ آب کؤرأ جأ فوئه أىه ؤ آب ٚ بيرۊن چيچي نأهأىه.»
"Outside the water! exclaimed the tadpoles, ""Where is that? We're never seen outside of the water! Haha ...haha ...You're crazy!"""	پخت ٚ ماىئن بۊگؤتد: «آب ٚ بيرۊن دئه کؤىه ايسه؟ أما گه هرگز آب ٚ بيرۊن-ه نيدئمي! هاها...هاها... تي عقل-ه بۊخۊردي ري!»
Little Black Fish also started to laugh.	کۊجدانه ماىي ئم خنده بيگيته.
The fish thought it would be better to leave the tadpoles to themselves and go away, but then changed its mind and decided to speak to their mother.	فيکر بۊگۊده گه بئتره پخت ٚ ماىئن-ه وأهأله خۊشان-ئه بىسد ؤ بشه. بأزۊن فيکر بۊگۊده کي بئتره اۊشان ٚ مأر ٚ أمرأ ىأم دۊ کلمه گب بزنه.
Where is your mother? asked the fish.	واورسئه: «أسه شيمي مأر کؤىه ايسأ؟»
Suddenly, the deep voice of a frog made the fish jump.	ايوارکي ايته گؤزگأک ٚ جير ٚ صدا اۊن-ه خۊ جيگا جا بپرانئه.
The frog was sitting on a rock at the edge of the pond.	گؤزگا سل ٚ ورجه ايته سنگ ٚ سر نيشته‌بۊ.
She jumped into the water, came up to the fish and said: I'm right here. What do you want?	واز بۊگۊده آب ٚ مئن ؤ بأمؤ ماىي ورجه بؤته: «أىه ايسأمه، فرماىش؟»
Hello, Great Lady, said the fish.	ماىي بۊگؤته: «سلام پيله خانم!»
"The frog responded ""Worthless creature, now is not the time to show off."	گؤزگا بۊگؤته: «کشکأنوأبؤستن! بي‌رگ ٚ ريشه! 
You've found some children to listen to you and are talking pretentiously.	زأى گير بأردي ؤ پيله پيله گب زئندري؛ 
I've lived long enough to know that the world is this pond.	من دئه اۊنقدر عؤمٚر بۊگۊدمه کي بفامم دۊنىا هأ سله.
"Mind your own business and don't lead my children astray."""	بئتره بيشي تي کار ٚ دۊمبال ؤ مي زاکان-ه فيتأندي.»
"If you lived a hundred years, said the little fish, ""you'd still be nothing more than an ignorant and helpless frog."""	کۊجدانه ماىي بؤته: «صد ته أن ٚ مأنسأن عؤمر أم کي بۊکۊني، هأندئه ايته بي‌کلله وامانسته گؤزگا ويشتر نيي.»
The frog got angry and jumped at Little Black Fish.	گؤزگا خۊ ديوانه تاس-ه آب دۊگۊده بپرسته کۊجدانه سئه ماىي ور.
The fish flipped quickly and fled like lightening, stirring up sediment and worms at the bottom of the pond.	ماىي زۊدي بۊجۊنبسته ؤ برق ٚ ماسان جيويشته ؤ چل ؤ رۊت ؤ سل ٚ تان ٚ أجيکان-ه دؤرشئه.
The valley twisted and curved.	دۊل-ه ديپيچ‌واپيچ دۊبۊ پۊر؛ 
The stream became deeper and wider.	سؤنگ ٚ آب أم چن برابرأبؤسته‌بۊ؛ 
But if you looked down at the valley from the top of the mountains, the stream would seem like a white thread.	أمما أگه کۊهان ٚ جؤر بىسأبي ؤ دۊل ٚ تان-ه نيگا بۊگۊده‌بي، سؤنگ-ه ایته سيفيد ٚ ريشته مأنسأن دئي.
In one place, a piece of large rock had broken off from the mountain, fallen to the bottom of the valley, and split the water into two branches.	اي جا ايته پيله لت ٚ سنگ کۊی ٚ جا سيوا بؤبؤبۊ بکته‌بۊ دۊل ٚ تان ؤ آب-ه دۊ بخش چاگۊده‌بۊ.
A large lizard the size of a hand, lay on her stomach on the rock.	اي دنه پيله چۊچار، ايته دس ٚ تان ٚ أنده، خۊ شکم-ه دۊچکانئه‌بۊ سنگ-ه.
She was enjoying the sun's warmth and watching a large, round crab resting on the sand at the bottom or the water in a shallow place and eating a frog he had snared.	آفتاب ٚ گرمي جا واج أمؤندۊبۊ ىؤ ايته پيلدانه گرد ٚ. پابۊزگيرئک-ه نيگادۊبۊ کي نيشته‌بۊ آب ٚ تان ٚ فۊرشان ٚ سر، اۊىه گه آب کمتر جۊلف بۊ ىؤ خۊ شکارأگۊده گؤزگا-ىه خۊرداندرٚبۊ.
The little fish suddenly saw the crab, became frightened, and greeted him from afar.	کۊجدانه ماىي چۊم ايدفأىي دکته پابۊزگيرئک-ه، بترسئه. دۊرادۊر ايته سلام بدأ.
"The crab glanced sideways at the fish and said, ""What a polite fish! Come closer, little one. Come on!"""	پابۊزگيرى ايزئه ورورکأ اۊن-ه نيا بۊگۊده بؤته: «چي باأدبي ماىي! پيشتر بيه کۊجدانه، بئه!»
"I'm off to see the world, said the little fish, ""and I never want to be caught by you, sir!"""	کۊجدانه ماىي بۊگؤته: «من شمه دۊنىا-ىه بمجم ؤ هيچ أم نخأىمه جنابعالي شکار ببم.»
Little fish, why are you so pessimistic and scared? asked the crab.	پابۊزگيرى بۊگؤته: «تۊ چره أنده بدبين ؤ ترسۊىي کۊجدانه ماىي؟»
I'm neither pessimistic nor afraid, answered the fish.	ماىي بۊگؤته: «من نأ بدبينم نأ ترسۊ.
I speak about everything I see and understand.	من هرچي-ئه گه مي چۊم دينه ؤ مي عقٚل گئه، زوان أرمه.»
"Well, then, said the crab, ""please tell me what you've seen and understood that makes you think I want to capture you?"""	پابۊزگيرى بۊگؤته: «خا بفرماىيد بيدينم شيمي چۊم چي بيدئه ؤ شيمي عقل چي بۊگؤته کي شمه‌-ره جۊمجۊم اۊسانده گه أما خأىمي شمه‌-ره شکار بۊکۊنيم؟»
Don't try to trick me! responded the fish.	ماىي بۊگؤته: «دس بکش برأ! تره خياله شانته گير بأوردي؟»
Are you referring to the frog? queried the crab.	پابۊزگيرى بۊگؤته: تي منظۊر گؤزگاىه؟
How childish you are! 	 تۊ نأم کي پاک زأى بؤبؤستي برأ! 
I have a grudge against frogs; that's the reason I hunt them.	من گؤزگأن-ه واکف دأرمه ىؤ هأن ٚ خأني اۊشان-ه شکارأکۊنمه.
Do you know, they think they're the only creatures in the world and that they're very lucky.	دأني، أشان فيکر کۊنده گه آسمان ٚ کيۊن خۊلأبؤسته خۊشان بکتيميأ! خىأل کۊنده دۊنىا مئن هأچين خۊدشان درد ؤ خۊشبخت ني ايسد.
I want to make them understand who is really master in the world! 	من خأىمه أشان-ه بفامانم کي دۊنىا راس‌راسي کي دس دره!
So you don't have to be afraid, my dear. Come here. Come on.	پس تۊ دئه نوأترسئن جان، بيه جۊلؤ، بيه!
As the crab talked, he was walking backwards towards the little fish. 	پابۊزگيرى أ گبان-ه بزئه ؤ پس‌پسکا را دکته کۊجدانه ماىي ور.
"His gait was so funny that the fish couldn't help laughing and said, ""Poor thing! You don't even know how to walk. How did you ever learn who runs the world?"""	بس کي خنده‌ىي را شؤى، ماىي-ئه خؤره‌خؤره خنده بيگيته ؤ بۊگؤته: «بيچاره! تۊ گه هله تي را شؤن-ه نأني، چۊتؤ دأني دۊنىا کي دس دره؟»
The black fish drew back from the crab.	سئه ماىي پابۊزگيرئک ٚ جا فاصيله بيگيته.
A shadow fell upon the water and suddenly a heavy blow pushed the crab into the sand.	ايته ساىه دکته آب ٚ سر ؤ ايوارکي ايته قاىم ٚ ضربه پابۊزگيرئک-ه فۊزئه فۊرشان ٚ مئن.
The crab couldn't get up.	پابۊزگيرى دئه نتأنسته بيرۊن بأىه.
The lizard laughed so hard at the crab's expression that she slipped and almost fell into the water.	پابۊزگيرئک ٚ سرمچچه جا چۊچار-ه اي جۊر مرگ ٚ خنده بيگيته گه تاشأخۊرده ؤ نيزيک بۊ خۊدش أم دکفه آب ٚ مئن! 
The little fish saw that a young shepherd was standing at the edge of the water watching the fish and the crab.	کۊجدانه ماىي بيدئه ايته گالش ٚ رى آب ٚ ور به پا ايسأ ؤ اۊن ؤ پابۊزگيرئک-ه نيگا کۊنه.
A flock of sheep and goats came up to the water and thrust their mouths in.	ايته رمه بۊز ؤ گۊسند آب-ه نيزيکأبؤد ؤ خۊشان ٚ بۊک-ه بؤبؤردد آب ٚ مئن.
"The valley filled with the sounds of ""meh meh"" and ""bah bah."""	مع‌مع ؤ بع‌بع اۊشان ٚ شيني دۊل-ه پۊرأگۊده‌دأشتي.
The little black fish waited until the sheep and goats had drunk their water and left	کۊجدانه سئه ماىي بىسأ رافا تا بۊزان ؤ گۊسندان خۊشان ٚ آب-ه واخۊردد ؤ بۊشؤد.
then called the lizard: Dear lizard, I'm a little black fish who's going to search for the end of the stream.	بأزين چۊچار-ه دخأنده ؤ بۊگؤته: «چۊچارى جان! من ايته کۊجدانه سئه ماىي ايسم کي شمه سؤنگ ٚ اينتها-ىه پىدا بۊکۊنم.
"I think you're wise, so, I'd like to ask you something."""	گۊمان کۊنمه تۊ عاقيل ٚ مجنده بيبي، هأن ٚ وأسي خأمه اي چي تره واورسم.»
Ask anything you want.	چۊچار بۊگؤته: «هرچي خأىي واورس.»
All along the way, they've been frightening me a great deal about the pelican, the swordfish and the heron. Do you know anything about them?	ماىي بۊگؤته: «أمؤنا، مره خىلي لمبر ؤ أرره‌تۊک‌ماىي ؤ آب‌غۊمپيل ٚ جا ترسانئدي، أگر تۊ چيزي أشان ٚ جا دأني مره بۊگۊ.»
"The swordfish and the heron, said the lizard, ""aren't found in this area, "	چۊچار أوج بدأ: «أرره‌تۊک‌ماىي ؤ آب‌غۊمپيل، أرأن پىدا مىدا نبده.
especially the swordfish who lives in the sea.	مخصۊصا أرره‌تۊک‌ماىي کي درىا دره.
But it's possible that the pelican is farther down.	ولي لمبرى بلکي هأ بيجير ميجيران أم ديبي.
"Be careful he doesn't trick you and catch you in his pouch."""	تي حواس بمانه گه اۊن ٚ گۊل-ه نۊخۊري ؤ اۊن ٚ کيسه مئن دنکفي.»
What pouch? said the fish	ماىي بۊگؤته: «کؤ کيسه؟»
"Under his throat, explained the lizard, ""the pelican has a pouch which holds a lot of water."	چۊچار بۊگؤته: «لمبر خۊ گۊلي جير ايته کيسه دأره گه خىلي آب گيره.
When the pelican's swimming, fish, without realizing it, sometimes enter his pouch and then go straight into his stomach.	اۊن آب ٚ مئن سيناب کۊنه ؤ گاگلف ماىئن، نأنسته‌بؤ، اۊن ٚ کيسه-أ دکفده ؤ هۊتؤ صاف شده اۊن ٚ شکم ٚ مئن.
"But if the pelican isn't hungry, he stores the fish in his pouch to eat later."""	ألبته أگه لمبر-ه ويشتا نبه، ماىئن-ه هۊ کيسه مئن پستاىي کۊنه کي دۊمبالسر بۊخۊره.»
If a fish enters the pouch, is there any way of getting out? asked the fish.	سئه ماىي بؤته: «أسه أگر ماىي دکته کيسه مئن، دئه بيرۊن أمؤن نتأنه؟»
There's no way unless the fish rips open the pouch, answered the lizard.	چۊچار بۊگؤته: «هيچ راىي ننأىه، مگر أن کي کيسه-أ پارأکۊنه.
I'm going to give you a dagger so that if you get caught by the pelican, you can do just that.	من ايته خنجر تره فأدمه گه أگر گيرفتارأبؤستي هأ کار-ه بۊکۊني.»
Then the lizard crawled into a crack in the rock and returned with a very sharp dagger.	بأزۊن چۊچار خؤره جزئه سنگ ٚ شکاف ٚ مئن ؤ ايته کۊجه خنجر ٚ أرأ واگردسته.
"The little fish took the dagger and said: ""Dear lizard, you are so kind!"""	کۊجدانه ماىي خنجر-ه فيگيته بۊگؤته: «جان ٚ چۊچار! تۊ خىلي مهرباني.»
I don't know how to thank you.	من نأنمه چۊتؤ وا تي جا تشکؤر گۊدن.
It's not necessary to thank me, my dear.	چۊچار بۊگؤته: «تشکؤر نخأىه بلاميسر! من أجۊر خنجران زياد دأرمه.
I have many of these daggers. When I have nothing to do, I sit down and make daggers from blades of grass and give them to smart fish like you.	وقتي بيکارأبمه، نيشينمه واشان ٚ تئغ ٚ جا خنجر سازمه ؤ تي ماسان دانا ماىئن-ه فأدمه.»
"What? asked the fish, ""Have other fish passed here before me?"""	ماىي بۊگؤته: «مي جا پيشتر أم أىه مايي دوارسته گه؟»
Many have passed by, the lizard replied. They've formed themselves into a school and they give the fisherman a hard time.	چۊچار بۊگؤته: «پۊر! اۊشان دئه أسه خۊشان ٚ ره ايته جرگه بؤبؤستده ىؤ مالا-ىه زللأگۊدده!»
