ckb_sentence	translation	variety	county	orthography
گەورەکەش بەتەنیا لەلای گۆمەکە یاری دەکرد.	گەورەکەیچ وێش تاق و تەنیا لا گمێنە گەمە کەرێ.	Standard		Hawrami
هیچکام لەم شتانە هەرگیزاو هەرگیز نین.	هیچ کام چی چێوا حەرگیزاو حەرگیز نیەنێ.	Standard		Hawrami
لە ئێستادا تورکیا واهەست دەکات سەرکەوتوە و پڕوپاگەندە بۆ ئەوە دەکات.	جە ئیسەنە تورکیا ئەرجیۆش سەرکەوتەن و پڕوپاگەندە پەی ئانەیە مەکەرۆنە.	Standard		Hawrami
کە ئەوانەش شەڕی زۆر سەختیان دژ بە فاشیزم و داگیرکردن بە شوێندا هات.	کە ئانێچە جەنگی فرە سەختش دژ بە فاشیزمی و ئەرەگێرتەیی شۆنیەر ئوما.	Standard		Hawrami
ئەوانەش تەنیاو تەنیا لە ڕۆژئاوا هەن.	ئانێچە تەنیا و تەنیا جە ڕۆژاڤانە هەن.	Standard		Hawrami
هێزەکانی سەر بە ناوچەی شێرئاوامان هێرشیان کردووەتە سەر بنکە و بارەگای سەر بە فەیلاق ئەلشامی بەکرێگیراو.	ی سەر بە ناوچەی شێراوای هێزاکێمان هێرشان کەردەن سەر و بنکێ و بارەگایەکێ چەتەکێ سەر بە فەیلەق ئەلشامی بەکرێگیریای.	Standard		Hawrami
بێنا موزیکزان.	بێنا موزیکزان.	Standard		Hawrami
ڕاستە تێکۆشانە بە کۆمەڵەکەی ئۆجەلان و میللەت  ئامانجی نەپێکا بەڵام تا ئەمڕۆش بەجۆرێک جێی بەردەوامییە.	ڕاستەن گەلەکۆمەکە بە بەکۆشای ئۆجالانی و گەلی ئامانجش نەپێکا بەڵام تا ئارۆچ بە شێۋازێ جیێ بەردەۋامەن.	Standard		Hawrami
تەحریر ئەلشام و هێزەکانی سوریای ئازاد دەکرد لە سوریا کە تەنیا جلەکانیان دەگۆڕان و هەموو سەر بە ئەلقاعیدەن.	تەحریر ئەلشام و هێزەکانی سوریای ئازاد دەکرد لە سوریا کە تەنیا جلەکانیان دەگۆڕان و هەموو سەر بە ئەلقاعیدەن.	Standard		Hawrami
کە لە چەند سەد مەترێکی چوارگۆشەدا دەوردراون.	کە جە چنڎ سەد مەترێ چوارگۆشەنە دۆرپێچێ کریێنێ.	Standard		Hawrami
کیمیابارانی شاری هەڵەبجەی کرد.	ی کیمیاۋارانو شارو هەڵەبجەیش کەرد.	Standard		Hawrami
چەتەکانی داعش عەفرینیان داگیرکرد.	چەتەکانی داعش عەفرینیان داگیر کرد.	Standard		Hawrami
بەڵام گۆشەگیری ئەمڕۆی سەخت و دژوارە و ئەوەش پەیوەستە بە بارودۆخی سیاسییەوە.	بەڵام گۆشەگیری ئارۆی سەخت و دژۋارەن و ئانەیچ پەیوەستەن بە بارودۆخی سیاسی.	Standard		Hawrami
رێکەوتنەکەی هەڵوەشاندەوە.	ڕێکەوتەکەش هۆرشانەۋە.	Standard		Hawrami
حوکمەتە مەرکەزییەکان زۆرینەیان تا ڕادەیەک وەکو یەکن لە شێوەی بەڕێوبردن بەڵام دەسەلاتی لامەرکەزی لە بەڕێوبردندا زۆر جیاوازە. 	حکومەتە مەرکەزیەکێ فرێشا تا ڕادێو پسەنێ یۆی جە شێوەو ڕاوەبەردەیۆ بەڵام دەسەڵات و لامرکەزی ڕاوەبەردەی کانتۆنەکا فرە جیاوازا .	Standard		Hawrami
بەڵام زیانی گەورەی لێکراوە و سەرنەکەوتوە و دۆڕاوە.	بەڵام زیانی مەزنش ۋنە کەوتەن و سەرنەکەفتەن و دۆڕیان.	Standard		Hawrami
دەبێت بە زوترین کات بنکە ئاگادار بکەنەوە بۆ گەیاندنی هاوکارییەکە.	مشۆم جە زووتەرین وەختەنە کۆمیتەی ئاگادار کەرۆوە پێ کۆمەک یاونای .	Standard		Hawrami
ڕێگانەدان بە خوێندنی زمانی دایک شەرمەزاریە و شەڕی         بۆ تواندنەوەی شوناسمان.	ڕانەدای بە ۋانای زۋانی ئەڎایی شەرمەزاریەن و جەنگی ڕۆچانەن پەی ئەوەتاونای شوناسیمان.	Standard		Hawrami
ئاخر ئێوە زۆر دورکاوتونەتەوە و خۆتان بە ئەوروپا لە قەڵەم نادەن باوانەکانی لەیلێ.	ئاخور شمە فرە دوورێ کەوتێندێوە و وێ بە ئۆرووپایی مەدەیدێنە قەڵەم باوانەکانو لەیلێ.	Standard		Hawrami
لە سەماکەدا نوێنەرانی کەمپینەکە سەبارەت بە داگیرکاری و تاوانەکانی تورکیا کە لە کوردانی باشوردا ئەنجامیان دەدات یاداشتنامەیان بە فراکسیۆنەکان داوە.	جە سەرداکەیەنە نمایندێ کەمپینەکەی سەبارەت ئەرەگێرتەیی و تاۋانەکێ تورکیا کە جە کوردستانی وارین ئەنجامێشان مڎۆنە یاداتشنامەشان بە فراکسیۆنەکان دان.	Standard		Hawrami
بەمجۆرە دەیەوێت شکست و لاوازییەکانی پەردەپۆش بکات و دەسەڵاتە ستەمکارییەکەی درێژە پێبدات.	بەی تەورە ئامانجشەن شکستێ و لاۋازییەکانش پەردەپۆشێ بکەرۆنە و دەسەڵاتە ستمکارانەکەیش درێژە پنە بڎۆنە.	Standard		Hawrami
لە مەراسیمەکەدا هەردوو شوێنکەوتەی ئیسلام و زەردەشتی بەیەکەوە بە ژیرانە و ڕێزدارانە بەژدار دەبن.	جە مەراسیمەکەنە هەر دوێ شۆنکەفتەکێ ئیسلامی و زەردەشتی پێوەر بەهژیاری و ڕێزداری بەشدارێ مەبانێ.	Standard		Hawrami
بە هەمان شێوە هاوڵاتیێک لە ئەڵمانیا شەهید بووە. 	هەرپاسە جە ئەڵمانیا هاموڵاتیێۋ بە هەمان شێۋە شەهید بییەن.	Standard		Hawrami
لە گۆڕەپانی شیعر و ئەدەبی هەورامان و لەناو فکر و هۆشی خەڵکیدا ناوێکی هەڵکەوتە و دیارە. 	گۆڕەپانوو شێعر و ئەدەبوو هەورامانی و دلێ کۆماو خەڵکیەنە نامێوە هۆرکەوتێ و دیارە بێ.	Standard		Hawrami
تا حوکمەتی تورکیا سەرڕاست بێت لە سزاکەیدا و مافەکانی ئۆجەلان بەپێی یاسا مسۆگەر بکات.	تا حکومەتو تورکیا سەرراست بییەی جە سزاکێش بکەرۆنە و مافەکا ئۆجالانی بە پاو یاسای مسۆگەر بکەرۆنە.	Standard		Hawrami
بەڵکو هونەری ئازادترین و بەهێزترین ئەقڵەکان.	بەڵکوو هۆنەروو ئازاڎتەرین و عازاتەرین ئەقڵەکان.	Standard		Hawrami
زمان لە چوارچێوەی سیاسەتدا کەرەستەی دەسەڵاتە.	زوان جە چوارچێوەو سیاسەتینە کەرەسەو دەسەڵاتیا .	Standard		Hawrami
ڕێکخەری زۆرینەی کۆڕ و کۆمەڵە ئەدەبی و هونەریە مەحاڵەکانی هەورامان بووە.	ئەوەڕازنەروو فرەو کوڕ و کۆمەڵە ئەدەبی و هۆنەریەکاو مەحاڵەو هەورامانی بیەن.	Standard		Hawrami
گیانی لە دەستدا.	گیانش جەدەستدا.	Standard		Hawrami
بۆ بیروڕای هەموو جیهان و کورد و بەتایبەت بۆ هێزە کوردییەکان دیار و ئاشکرابوو.	پەی ویروڕاو گردی جەهانی و کوردی و بە تایبەت پەی هێزە کوردیەکا دیار و ئاشکرا بێ.	Standard		Hawrami
ئاقڵ و نەرم و نیان و خاوەن ئەدەب و هۆشە.	ژیر و نەرم و نیان و ساحیب نەزاکەت و ئاوەزا.	Standard		Hawrami
ئیش دەکات.	هەرمانە کەرۆ.	Standard		Hawrami
هێزی پارێزگاری جەوهەری ڕواڵەتی کوردستان بۆ ڕوبەڕووبونەوەی داگیرکارییەکانی تورکیا لە برادۆست فەوجێکی لەشکری دامەزراند کە فەوجەکە وریایی بەکرێگیراوەکانی تورکیا دەدات.	هێزو پارێزنای جەوهەری پانیشتو کوردستانی پەی ڕووبەڕووبییەی ئەرەگێرتەیی تورکیای جە برادۆست کەتیبێۋی لەشکریش مەرزنارە و کەتیبەکە وریایی بە بەکرێگیریاکێ تورکیای مڎۆنە.	Standard		Hawrami
دەستگیر و دادگایی نەکراون و سزا نەدراون و هیچ هەوڵێکیش نییە بۆ دەستگیرکردن و دادگایی کردن و گەیاندنیان بە سزا.	دەستگیرێ و دادگایی نەکریێنێ و سزا نەدریێنێ و هیچ هەوڵێویچ پەی دەستگیرکەردەی و دادگاییکەردەیی و بەسزا یاونایشان نییەن.	Standard		Hawrami
هەر بەو شێوەیە لە کاتی ڕەشبەڵەکدا کە کەم تا زۆر باو بووە لە مێژووی هەوراماندا.	هەرپاسە وەختو ڕەشبەڵەکینە کە کەم تا فرە باو بیەن جە قەدیمو هەورامانینە.	Standard		Hawrami
دوابەدوای چالاکییەکە دوژمن بێسەروبەرانە ناوچەکەی تۆپباران کردووە.	دمابەدمای چالاکییەکەی دوژمن بێسەوربەرانە ناوچەکەش تۆپۋاران کەردەن.	Standard		Hawrami
دەوڵەتی تورکیا هێزێک لە زلهێزە میانڕەوەکانی هەرێم هەڵدەگرێت و هێرش دەکات.	دەوڵەتو تورکیای بە هێزێۋ کە جە زلهێزە میاندەوڵەتیێ و هەرێمیەکان هۆرشمەگێرۆنە هێرش مەکەرۆنە.	Standard		Hawrami
هێزەکانی سوپا چەتەکانی تورکیا و عەرەبە شۆڤییەکانی عێراق ئەنجامدراوە.	هێزەکێ سوپا و چەتەکێ تورکیای و عەرەبە شۆڤینیەکێ ئێراقی ئەنجام دریان.	Standard		Hawrami
پەرەی سەندووە.	ی پەرەش سەندەن.	Standard		Hawrami
بەڵکو یەکێکە لە زمانە هەرە کۆنەکانی ئێران.	بەڵکوو یۆ جە کۆنتەرین زوانە ئێرانیەکایچەن.	Standard		Hawrami
بەو شێوەیە مەلا بەختیار بەرپرسی دەستەی کاروباری یەکێتی نیشتیمانی کوردستان قسەی کرد.	هەرپاسە مەلا بەختیار ۋەرپەرسیارو دەستەو کارگێڵنای یەکێتیی نیشتمنی کوردستانی قسێش کەردێ.	Standard		Hawrami
وایدەزانی بەو شێوەیە دەتوانێت ئیشم بۆ بدۆزێتەوە و یارمەتیم بدات.	ئەجێش پاسە تاوۆ هەرمانێم پەی بێزۆوە و ئینداڎێم بڎۆ.	Standard		Hawrami
لێرەوە ژمارە دوو بوو بە گرنگی ئەم حوکمڕانییە و تاکو کۆتایی ئەم فۆرمە دەمێنێتەوە.	چێگەوە ژمارە دووێ بی بە جەوهەرو ئی حکومڕانیەیە هەتا دمادمایی ئی فۆڕمە حوکمڕانیەیە هەر مەنۆوە.	Standard		Hawrami
خواردن و خواردنەوە و شیرینی جۆراوجۆری ناوچەیی ئامادە دەکرێت و بە میوانەکان دەدرێت.	واردەی و واردەیەۆ و شیرینی جۆراوجۆرێ ناوچەیی ئامادە مەکرانێ و مەڎانەشان بە مێمانەکان.	Standard		Hawrami
بۆیە دەیانەوێت هێزی گەلە ئازادیخوازەکانی هەرێمەکە دەستکەوتەکانیان زیاتر بکەن و دەستکەوتی دیکەی تازە پەیدا بکەن و لەم شەڕە جیهانییەدا زیاتر لە جاران کار و خەبات بکەن.	پەوکەی گەرەکەن هێزێ و گەلە ئازادیۋازەکێ هەرێمەکەی دەستکەفتەکانشان هێقمتەرێ بکەرانێ و دەستکەفتێ تەرێ تازێ بخوڵقنانە و جە ئەی جەنگە جیانیەنە زیاتەر جە جارانی کار و خەبات بکەرانێ.	Standard		Hawrami
لە شاری سنە بنکەی ئاهورا ئێوارەیەکی ئەدەبی بۆ هەڵسەنگاندن و ڕێزگرتنی تێکۆشانی ئەدەبی شاعیر و نوسەر  ڕەئوف مەحموود پوری ڕێکبخەن.	جە شارو سنەی بنکەو ئاهورای ۋێرەگانێۋی ئەدەبی پەی هۆرسەنگنای و ڕێزگێتەی جە کۆشاییشی ئەدەبی شاعیر و نۋیسەر ڕەوف مەحموود پووری ڕێکبوزۆنە.	Standard		Hawrami
دیارە منداڵەکە هاروهاجی کردووە و بۆیە باوکەکە لە دەستی بێزارە.	دیارا زارۆڵەکە هاروو هاجیش کەردەن و تاتەکە دەسشۆ ناراحەتا .	Standard		Hawrami
فەرحان متلک الجبوری بەرپرسی هەواڵگری ناوچەکانی کوردستان سزا دراوە.	فەرحان متلک الجبوری ۋەرپرسیارو هەوڵگری ناوچەکێ کوردستانی و سزا دریان.	Standard		Hawrami
بەم شێوەیە لە شاری قامیشلۆ سەدان هاوڵاتی تا بەردەم نوێنەرایەتی نەتەوە یەکگرتووەکان ڕێگایان بڕی و لەوێ کۆبونەوە.	هە پاسە جە شار قامشلۆی سەدان هاموڵاتیێ تا وەردەم نمایندەیی نەتەوە یۆگێرتەکان ڕاشان پیما و جە ئاگە کۆبیێوە.	Standard		Hawrami
هیوادارم لەشوێنێکدا توانیبێتی خۆی لە سەرگەردانی ڕزگاربکات.	همێڎەوارەنا یاگێە تاوابۆش وێش جە سەرگەرڎانی نەجات بڎۆ.	Standard		Hawrami
ئێمەی گەلی عەرەب ئازارێکی زۆرمان چەشتوە و هێشتاش ئازار دەچێژین.	ئێمەى گەلی عەرەب ئازاری زۆرمان چەشتووە و هێشتاش ئازار دەکێشین.	Standard		Hawrami
لە سەرێکانی و تربەسپی سەدان دۆنم لە خەلە و خەرمان ئاگردران و سوتێنران.	سەرێکانی و تربەسپی سەدان دۆنمێ جە خەلە و خەرمانی ئێر دریێ و سۆچنیێ.	Standard		Hawrami
سەیری دەستەکانم بکەن چۆن قڵیشاون و سوربوونەتەوە.	بڎیەیدێ دەسامەرە چەنی ترەکێنێ و سورێ بیێنێ.	Standard		Hawrami
گەر سەیری ئەدەبیاتی نەتەوەکان بکەیت دەبینی سروشت ئینسانێکی ڕێکخستووە کە لەگەڵ ڕاستی سروشتەکەوە دەگونجێ.	گەر تەماشەو ئەدەبیات نەتەوەکا کەرمێ وینی سرووشت ئینسانێش رێکوستەن کە چەنی راسی ئا سرووشتەیە مێوە .	Standard		Hawrami
ڕێپێوان و کۆبونەوەی جەماوەری ئەنجامدراون و هەزاران کورد و دۆستیان بەژداربوون.	ڕاپیمایی و کۆبییەی جەماوەری ئەنجامێ درێی و هەزاران کوردێ و دۆستێشان بەشدارێشان بیێ.	Standard		Hawrami
یانی ئۆجەلان و کورد پەیوەستی یەکترین و هاوکات ڕوبەڕووی هێرش و قڕکردن نابنەوە.	یانی ئۆجالان و کورد پەیوەستێ هەنتریەنی و هاموەخت ڕووبەروو هێرشی و قڕکەردەی مەبانێۋە.	Standard		Hawrami
یەک هەنگاو بۆ دواوە نەکشاونەتەوە و ئازایانه ڕوبەڕووی دۆخەکە بوونەتەوە.	هەنگامێ چێشەنە دمارە نەکێشیێۋە و ئازایانە ڕووبەڕوو دۆخەکێ بیێۋە.	Standard		Hawrami
تاکو ئێستا زیانەکان نەزانراون.	یەن تا ئیسە زیانەکێ نەزانیێنێ.	Standard		Hawrami
خاوەنداری لە ئەرک و تێکۆشان و یەکێتی دیموکراتی بووە.	خاونداری لە ئەرک و تیکۆشان و یەکێتی دیمۆکراتیک بکەن.	Standard		Hawrami
لەوێنین و نازانن ئەمڕۆ چ زوڵمێک دەکرێت لە وڵاتی پیرەکان.	ئەچاگەنە گمێندێ و نمەزاندێ ئارۆ چە زڵمێو مەکریۆنە ئەو وەڵاتو پیرەکان.	Standard		Hawrami
وەرگێڕدراوە بۆ چەندین زمانی دیکەی جیهانی و بووە بە سەرچاوەی گرنگی مێژوویی بۆ جێبەجێکارانی.	هۆرگێڵنیان پەی چەندین زۋانێ تەرێ جیهانی و بییەن بە سەرچەمێ گرنگی تاریخی پەی پەیجۆرکاران.	Standard		Hawrami
شتەکە دەقاودەق و بەرامبەر دەردەچێ.	چێوەکە تێقانتێق و وەراوەر بەرمشۆ.	Standard		Hawrami
بەرەو ئازادیخوازی سوریا.	بەرەو ئازادیوازی سوریای	Standard		Hawrami
دەبێتە هۆکار و هیوای بێبنەما یان تۆقاندنی خەڵکانێک کە پێویستیان بە چارەسەر هەیە.	بۆ بە هۆکاروو هێوایەو بێ بنەمای و یان تۆقنای خەڵکانێو کە پەیوازشا بە چارەسەری هەن.	Standard		Hawrami
مەهەپە بوەستێنێت و هاوکات پشیوانی لە ڕاوەستانە ڕەوا و قارەمانانەکەی دانیشتوانی ڕۆژئاوا و سەرۆکی سوریا بکات.	مەهەپەی بمدرۆنەۋە و هاموەخت پەشتیۋانی جە مدرامانە ڕەۋا و قارەمانانەکەو ڕۆژاڤا و سەرنیشت و وەرهۆرزو سوریای بکەرۆنە.	Standard		Hawrami
بۆ نمونە هەناسە و ئاو و نان زۆر لە تەلەفون و سەیارە پێویسترن.	پەی نموونەی هەناسە و ئاوی ونان فرە جە تەلەفون و ماشینی پەیوازتەرێنێ.	Standard		Hawrami
دواتر لە کوردستان و ئەوروپا و جیهان بە هەزاران کەسی ئازادیخواز پابەندی مانگرتن بوون.	دماتەر جە کوردستان و ئەورووپا و جیهان بە هەزاران کەسێ ئازادیۋازێ پەیۋەستێ مانگێرتەکەی بیێ.	Standard		Hawrami
موشەکەکە لە ژێردەریایی غەدیر ڕوو بە ئۆقیانوسی هندی تەقێندراوە و ئامانجی دیاریکراوی پێکاوە.	موشەکەکە جە چێردەریایی غەدیری ڕووبە ئۆقیانوسی هندی تەقنیان و ئامانجی دیاری کریاش پێکان.	Standard		Hawrami
دەیەوێت بە تورکیا دەستبخاتە ناو کاروباری شارەکە و سیمای کوردی بشێوێنێت.	هورقورتنای جە کاروبارو شارەکەی و گەرەکشەن بە تورکیشش بکەرۆنە و سیما کوردییەکەیش بشێونۆنە.	Standard		Hawrami
لە سیستەمی کۆمەڵگایەکدا کە خۆی بڕیارنەدات هیچ کاتێک ناتوانێت خۆی ئازاد بکات و دەرئەنجام ناتوانێت کۆمەڵگا بگەیەنێت بە ئازادی.	سیستەم و کۆمەڵگەیەنە وێش بڕیار نەڎۆنە هیچ کاتێۋ نمەتاۋنە وێش ئازادە بکەرۆنە و دەرەنجام کۆمەڵگەیبە ئازادی بیاۋنۆنە.	Standard		Hawrami
ئەم مافە هەروا لە ڕێکەوتننامە تەواوکراوەکانی جاڕنامەی جیهانی مافەکانی مرۆڤ گونجاوە.	ئی مافە هەرپاسە جە ڕێککەوتنامە تەمامکەرەکاو جاڕنامەی گەردوونی مافەکاو مرۆڤی گونجیان.	Standard		Hawrami
بوختان و فەساد بڵاوناکرێتەوە و داوای کۆمەڵکوژی کوردی ناکرێت.	بوختان و فەساد ۋەڵامەکریۆۋە و داۋا کۆمەڵکوشکەردەی کوردی مەکریۆنە.	Standard		Hawrami
بە هەڵواسراوی گیانی لەدەستداوە.	هۆرئاۋێزنای گیانش جەدەست دان.	Standard		Hawrami
مێژوونوس و نوسەرێکی دیار و بەناوبانگی هەورامان و کوردستانبوو و خاوەنی دەیان کتێب و بەرهەمی ئەدەبییە لە بوارە جیاجیاکاندا کە کتێبخانە و کودەوارییان دەوڵەمەندکردبوو.	مێژوونۋیس و نویسەریۋی دیار و نامی هەورامانی و کوردستانی بێ و جە بۋارە جیا جیاکانە خاوەن دەیان پەڕتوکێ و بەرهەمێ ئەدەبیێن و پەرتوکخانەو کوردەۋاریشان پنە زەنگین کریان.	Standard		Hawrami
ئێوە کچەزای شارێڵ بوودلێرن.	شمە کناچە زاو شارێل بوودلێریندێ.	Standard		Hawrami
لە بارەی زمان ناسییەوە، ئەم بابەتە مەجالی ئەوەی هەیە کە لەسەری بڕۆین و ڕونی بکەینەوە.	یاگێش هەنە جە باروو زوان ژناسی ئی بابەتە سەرشەرە بلمێ و ڕۆشنش کەرمەی.	Standard		Hawrami
دەروبەرتان پڕە لە کەسانی وەکو من.	دەور و بەرتا پەڕا جە کەسانێ پێسە من.	Standard		Hawrami
بەخێراییە بڵاوبوونەوەی.	بەخێرایی وەڵاوبییەیشەن.	Standard		Hawrami
ئاوی گەرم نازو نعمەتە.	ئاوی گەرمە ناز و نێعمەتا.	Standard		Hawrami
دەرمانی دژە حەساسیەت گرانترن.	داروێ زدێ حەساسیەتێ گرانتەرێنێ.	Standard		Hawrami
یانی ئەگەر بەئامانجی خۆیان گەشتبان هەرگیز باسی ئاگربەستیان نەدەکرد.	یانی ئەگەر ئامانجشان پێکابیێ هەرگیز باس جە ئێربڕی نەکەرێنێ.	Standard		Hawrami
بە قەبارەی گەورە نوسراون.	بە قەبارەی گەورە نۋیستێنێ.	Standard		Hawrami
بە شێوەیەک لە خەبات و تێکۆشانی ئازادیدا ژنی کوردی گەیاند بە ئاستێک کە لە هەموو جیهاندا بە شانازییەوە باسیان بکرێت و ببن بە سیمبول بۆ ژنانی جیهان.	بە جۆرێ کە خەبات و کۆشاییشی ئازادیشەنە ژەنێ کوردیش یاونێ بە ئاستێ کە جە گردو جیهانیەنە بە شانازیەوە باسشان بکریۆنە و ببانە بە ئلگو و سمبول پەی ژەنانو جیهانی.	Standard		Hawrami
هاوڵاتیان و بەندکراوە سیاسیەکان ئازاد بکات.	هامشارەدارێ و بندکریێ سیاسییەکان ئازادێ بکەرۆنە.	Standard		Hawrami
ئەندامی هەدەپە ئەڤین تانریکولو و سەرجەمیان دەستگیر کراون.	ئەڤین تانریکولو ئەندامەو هەدەپەی و سەرجمشان دەستگیرێ کریێنێ.	Standard		Hawrami
دووبارە پێتان دەڵێنەوە سەبرتان هەبێت.	دیسان ماچاتا پەنە خوایندێ.	Standard		Hawrami
کوڕەکانی من ڕوو بە کەسانێک دەدەن کە بە دزی شت پەیدادەکەن.	کوڕێ من ڕو بە کەسانێ تەری ملا کە بە دزی چێو پێڎا کەرا.	Standard		Hawrami
زۆرجار دەبیستین کە ئاگر گەورەترین دەرخەری ئینسان بووە.	فرەو جارا مژنەومێ کە ئایر گەورەتەرین کەشف و ئینسانی بیەن .	Standard		Hawrami
چی لەوە خۆشتر و باشتر کاکە گیان.	چێش چانەیە وەشتەر و خاستەر کاکە گیان.	Standard		Hawrami
ناڕاست و ناتەواو بە خەڵکی دەدەن.	ناڕاس و ناتەمام بە خەڵکی مڎا.	Standard		Hawrami
فەلسەفەی ئۆجەلان بووە بە ڕێگەچارە بۆ هاوپەیمانەکانی کورد و گەلە ژێر دەستەکان و سەرجەم ئینسانە ئازادیخوازەکانی دنیا.	فەلسەفەو ئۆجەڵانی بییەن بە ڕاچارە پەی ئارێشەکانو کوردی و گەلە چێردەسەکانێ و سەرەم ئینسانە ئازادیۋازەکانی جە دنیانە.	Standard		Hawrami
ئیتر سەلماوە نەک تەنیا شاخەکان بەڵکو لەدنیادا زۆر کەس و لایەن دۆستی کوردن.	ئیتر سەلەمیا نەک تەنها کەشەکێ بەڵکو دنیانە فرە کەسێ و لایێ دۆستێ کوردیەنێ.	Standard		Hawrami
کۆمەڵایەتی و ئابووری و ڕێکخستنی ئەو بەشانەی وڵات و نزیکبوونەوەی لایەن و پێکهاتەکان لە یەکتری و دۆرینەوەی ڕێگەچارە بۆ کێشەکانی نوێنەری کوردستان و دەرئەنجام گەیشتن بە یەکێتی و یەکڕیزی نەتەوەیی.	کۆمەڵایەتیی و ئابوری و ڕێکۋزیایی ئا بەشەو وڵاتی و نزیککەردەی لایەنەکێ و پێکئاماکان جە هەنتری و ئەۋەئێستەی ڕاچارەیەن پەی کێشەکانو وەرهۆرزو کوردستانی و دەرەنجام یاۋای بە یەکێتی و یەکڕیزی نەتەوەیی.	Standard		Hawrami
کۆبانێ و جەزیرەیان ڕاگەیاند.	کۆبانێ و جەزیرەیان ڕاگەیاند.	Standard		Hawrami
شەڕکەرەکان بەردەوامن لە ئەنجامدانی چالاکی دژ بە هێزە داگیرکەرەکانی تورکیا و تاقمە بەکێگیراوەکانی.	شەڕڤانەکێشان بەردەۋامێنێ جە ئەنجامدای چالاکی دژ بە هێزە داگیرکەرەکێ تورکیای و تاقمە چەتە بەکرێگیرێکێش.	Standard		Hawrami
یان هیچ نەبێت ئەگەر تاوانێکی ئەنجامداوە دۆسیەکەی بنێردرێت بۆ دادگا و لەوێ یەکلایی بکرێتەوە.	یان هیچ نەبۆنە ئەگەر تاوانێوەش ئەنجامدان دۆسیەکەیش ڕەوانەو دادگای بکریۆنە و جە ئاگە یەکلایی بکریۆوە.	Standard		Hawrami
لە بەرامبەردا هەمیشە بەڕێوبەری ڕۆژئاوا هەم بانگەشەکانی تورکیا و هەم بە ئارەزووی تورکیا دروستکردنی ناوچەی ئارامی ڕەتکردووەتەوە.	جە ۋەراۋەرەنە هەمیشە ڕاۋەبەری ڕۆژاڤای هەم بانگەشەکێ تورکیای و هەم بە ئارەزوو تورکیای دروستکەردەی ناوچە ئارامش ڕەت کەردەنەۋە.	Standard		Hawrami
لەگەڵ دەوڵەتی مەرکەزی داهاتوو و بەرەو وڵات.	چەنی دۆلەتی مەرکەزی ئایەندەی و بەروو وڵاتی .	Standard		Hawrami
هەر بەم شێوەیە پەژاک وەڵامێکبوو بۆ خەیاڵپڵاوەکانی داگیرکارانی کۆماری ئیسلامی کە باوەڕی نەدەکرد جارێکی دیکە ڕوبەڕووی مەسەلەی کورد ببێتەوە.	هەرپاسە پەژاک جوابییە بێ پەی خەیاڵپڵاواو داگیرکاری کۆماروئیسلامی کە باوەڕ نەکەرێ جارێتەر رووبەڕوو مەسەلێ کوردی بۆوە.	Standard		Hawrami
گوازرایەوە بۆ ناوچەی ئارامی.	فاڕیاۋە پەی ناوچەی ئارامی.	Standard		Hawrami
حەمزە کاکە وەیسی وەرگێڕاوە بۆ هەورامی.	یەن و حەمزە کاکە وەیسی هۆرگێڵنان پەی هەورامی.	Standard		Hawrami
مازڵۆ لەم بارەیەوە دەنوسێت کە هێنانی ئەم پێویستیانە دەبێتە هۆکاری بەرزبونەوەی هەستی خۆخۆشویستن و باوەڕبەخۆبوون.	مازڵۆ چی بارەوە منویسۆ کە بەئاوردە بیەی ئی ئەوەجا بۆ بە هۆکاروو بەرزەوبیەی هەستوو وێوەشسیای و باوەر بە وێبیەی.	Standard		Hawrami
تەنانەت دینداری و باوەڕداریش بە ئاین بووە بە جێگای سەرنج بۆ خەڵک و مەلای گوندەکەی.	تەنانەت دینداری و باوەڕمەندیش بە ئایینی بییەن یاگێ سەرنجی پەی خەڵکی و مەڵاو دەگاکێش.	Standard		Hawrami
لە عێراق بکرایە.	ی جە ئێراق بکریانێ.	Standard		Hawrami
ڕۆیشتویتە ژوورەوە.	لوانی چوەر.	Standard		Hawrami
سەماکردن و خۆشی ئاینی لە ناو ئاینی زەردەشتی و ئاریایی و هندییەکانەوە سەری هەڵداوە دواتر لە ڕێی تەسەوفەوە هاتووەتە ناو ئیسلامەوە.	کەردە و سەما و شاڎی ئاینی ڕیشەش دلێ دینو زەردەشتی و ئاریاکان و هیندیەکانە هەن و دماتەر جە ڕاو تەسەوفیەوە دەربازو ئیسلامی بییەن.	Standard		Hawrami
ڕەنگە نامێبۆ	بەڵام ئادە بە مدرامانە بێهامتاکەتیش ئادە بییە بە ئەفسانە.	Standard		Hawrami
ئەمەش بە ئەردۆغان قبوڵنەکرا و ئەنجامەکەی هەڵوەشاندەوە و هەڵبژاردنی خستەڕوو.	ئانێچە بە ئەردۆغانی قبوڵ نەکریا و ئەنجامەکەش هۆرشاناۋە و هۆرۋچنای نۋش ۋست ڕووە.	Standard		Hawrami
دوای چالاکییەکە لە گوندەکەو دەوروبەریدا ڕێبەری سوپاکەی تورکیا و تاقمە چەتەکانی ۆپراسیۆنێکی سەربازییان ئەنجام داوە.	دمای چالاکییەکەی جە دەگاکێ و دەوروبەرشەنە سپا ئەرەگێرەکەو تورکیای و تاقمە چەتەکێش ئۆپەراسیۆنی سەربازیشان ئەنجام دان.	Standard		Hawrami
